periodo	box	luz	gaiola	dia	ovos	massa
1	1	verde	1	1	9	698
1	1	verde	2	1	7	591
1	1	verde	3	1	9	589
1	1	verde	4	1	7	401
1	1	verde	5	1	9	611
1	1	verde	6	1	8	531
1	2	amarelo	1	1	9	569
1	2	amarelo	2	1	8	546
1	2	amarelo	3	1	6	410
1	2	amarelo	4	1	10	631
1	2	amarelo	5	1	8	565
1	2	amarelo	6	1	7	457
1	3	azul	1	1	8	490
1	3	azul	2	1	10	667
1	3	azul	3	1	7	465
1	3	azul	4	1	8	496
1	3	azul	5	1	7	464
1	3	azul	6	1	8	531
1	4	branco	1	1	9	598
1	4	branco	2	1	8	503
1	4	branco	3	1	9	595
1	4	branco	4	1	7	434
1	4	branco	5	1	9	589
1	4	branco	6	1	7	435
1	5	vermelho	1	1	9	582
1	5	vermelho	2	1	8	516
1	5	vermelho	3	1	8	520
1	5	vermelho	4	1	9	588
1	5	vermelho	5	1	9	560
1	5	vermelho	6	1	7	462
1	1	verde	1	2	7	429
1	1	verde	2	2	7	469
1	1	verde	3	2	5	333
1	1	verde	4	2	6	371
1	1	verde	5	2	5	345
1	1	verde	6	2	7	455
1	2	amarelo	1	2	10	640
1	2	amarelo	2	2	8	540
1	2	amarelo	3	2	10	671
1	2	amarelo	4	2	9	582
1	2	amarelo	5	2	7	458
1	2	amarelo	6	2	6	381
1	3	azul	1	2	7	440
1	3	azul	2	2	9	605
1	3	azul	3	2	6	373
1	3	azul	4	2	9	590
1	3	azul	5	2	7	460
1	3	azul	6	2	7	487
1	4	branco	1	2	8	511
1	4	branco	2	2	7	468
1	4	branco	3	2	7	450
1	4	branco	4	2	7	449
1	4	branco	5	2	10	670
1	4	branco	6	2	4	270
1	5	vermelho	1	2	8	530
1	5	vermelho	2	2	6	379
1	5	vermelho	3	2	7	441
1	5	vermelho	4	2	7	455
1	5	vermelho	5	2	6	366
1	5	vermelho	6	2	10	661
1	1	verde	1	3	9	574
1	1	verde	2	3	8	558
1	1	verde	3	3	9	606
1	1	verde	4	3	10	620
1	1	verde	5	3	9	619
1	1	verde	6	3	8	523
1	2	amarelo	1	3	8	508
1	2	amarelo	2	3	7	421
1	2	amarelo	3	3	8	514
1	2	amarelo	4	3	8	535
1	2	amarelo	5	3	8	505
1	2	amarelo	6	3	5	340
1	3	azul	1	3	9	557
1	3	azul	2	3	7	467
1	3	azul	3	3	10	645
1	3	azul	4	3	8	516
1	3	azul	5	3	8	513
1	3	azul	6	3	8	532
1	4	branco	1	3	9	594
1	4	branco	2	3	9	595
1	4	branco	3	3	8	50
1	4	branco	4	3	8	521
1	4	branco	5	3	9	590
1	4	branco	6	3	8	509
1	5	vermelho	1	3	10	658
1	5	vermelho	2	3	8	511
1	5	vermelho	3	3	9	573
1	5	vermelho	4	3	9	569
1	5	vermelho	5	3	7	414
1	5	vermelho	6	3	8	519
1	1	verde	1	4	9	564
1	1	verde	2	4	7	441
1	1	verde	3	4	5	320
1	1	verde	4	4	9	545
1	1	verde	5	4	10	665
1	1	verde	6	4	9	595
1	2	amarelo	1	4	9	587
1	2	amarelo	2	4	5	526
1	2	amarelo	3	4	9	591
1	2	amarelo	4	4	6	413
1	2	amarelo	5	4	6	385
1	2	amarelo	6	4	9	599
1	3	azul	1	4	8	487
1	3	azul	2	4	9	623
1	3	azul	3	4	10	637
1	3	azul	4	4	9	579
1	3	azul	5	4	5	330
1	3	azul	6	4	9	608
1	4	branco	1	4	7	448
1	4	branco	2	4	8	519
1	4	branco	3	4	5	530
1	4	branco	4	4	6	337
1	4	branco	5	4	10	653
1	4	branco	6	4	9	569
1	5	vermelho	1	4	10	654
1	5	vermelho	2	4	7	439
1	5	vermelho	3	4	7	440
1	5	vermelho	4	4	9	572
1	5	vermelho	5	4	6	365
1	5	vermelho	6	4	8	514
1	1	verde	1	5	9	576
1	1	verde	2	5	4	261
1	1	verde	3	5	8	528
1	1	verde	4	5	8	500
1	1	verde	5	5	7	460
1	1	verde	6	5	8	613
1	2	amarelo	1	5	7	458
1	2	amarelo	2	5	7	441
1	2	amarelo	3	5	9	602
1	2	amarelo	4	5	8	530
1	2	amarelo	5	5	9	590
1	2	amarelo	6	5	8	510
1	3	azul	1	5	9	560
1	3	azul	2	5	9	629
1	3	azul	3	5	8	533
1	3	azul	4	5	10	630
1	3	azul	5	5	6	396
1	3	azul	6	5	6	407
1	4	branco	1	5	10	654
1	4	branco	2	5	9	566
1	4	branco	3	5	9	592
1	4	branco	4	5	7	385
1	4	branco	5	5	8	506
1	4	branco	6	5	8	491
1	5	vermelho	1	5	8	518
1	5	vermelho	2	5	8	527
1	5	vermelho	3	5	8	493
1	5	vermelho	4	5	10	657
1	5	vermelho	5	5	9	555
1	5	vermelho	6	5	9	572
1	1	verde	1	6	9	564
1	1	verde	2	6	8	527
1	1	verde	3	6	8	514
1	1	verde	4	6	9	546
1	1	verde	5	6	10	711
1	1	verde	6	6	7	441
1	2	amarelo	1	6	7	441
1	2	amarelo	2	6	8	516
1	2	amarelo	3	6	7	450
1	2	amarelo	4	6	10	659
1	2	amarelo	5	6	7	451
1	2	amarelo	6	6	6	371
1	3	azul	1	6	8	493
1	3	azul	2	6	8	546
1	3	azul	3	6	10	633
1	3	azul	4	6	7	437
1	3	azul	5	6	7	436
1	3	azul	6	6	7	472
1	4	branco	1	6	8	541
1	4	branco	2	6	8	515
1	4	branco	3	6	8	507
1	4	branco	4	6	7	439
1	4	branco	5	6	10	649
1	4	branco	6	6	6	369
1	5	vermelho	1	6	10	652
1	5	vermelho	2	6	6	380
1	5	vermelho	3	6	9	560
1	5	vermelho	4	6	7	435
1	5	vermelho	5	6	10	623
1	5	vermelho	6	6	8	486
1	1	verde	1	7	8	504
1	1	verde	2	7	8	519
1	1	verde	3	7	9	597
1	1	verde	4	7	8	496
1	1	verde	5	7	8	534
1	1	verde	6	7	6	412
1	2	amarelo	1	7	8	547
1	2	amarelo	2	7	7	450
1	2	amarelo	3	7	9	591
1	2	amarelo	4	7	9	582
1	2	amarelo	5	7	8	518
1	2	amarelo	6	7	5	307
1	3	azul	1	7	10	623
1	3	azul	2	7	9	606
1	3	azul	3	7	6	403
1	3	azul	4	7	6	397
1	3	azul	5	7	10	644
1	3	azul	6	7	8	520
1	4	branco	1	7	8	520
