# Experimento instalado no delineamento de blocos casualizados, com 7
# repetições, avaliado em dois anos agrícolas consecutivos. Responsável
# Luís Armando Zago Machado (http://lattes.cnpq.br/4912506729242379).
# 
# Legenda dos fatores e níveis:
# 
#   * Ano: ano em que foi realizado o experimento (2012 ou 2013);
#   * Rep: representa o nível de bloco (7);
#   * Trat:
#      * SS: soja solteira (testemunha);
#      * SA: consórcio soja + capim-Aruana;
#      * ST: consórcio soja + capim-Tamani;
#      * SX: consórcio soja + capim-Xaraés;
#      * SPa: consórcio soja + capim-Paiaguás;
#      * SPi: consórcio soja + capim-Piatã;
#      * SD: consórcio soja + Brachiaria decumbens;
#      * SR: consórcio soja + B. ruziziensis.
# 
# Legenda das variáveis resposta:
# 
#   * RG: rendimento de grãos (kg/ha);
#   * Imp: teor de impurezas (%);
#   * TUmid: teor de umidade (%);
#   * AltSoja: Altura das plantas de soja (cm);
#   * NPD: número de plantas daninhas (plantas/m²);
#   * NVagem: número de vagens por planta;
#   * NGVagem: Número de grãos por vagem (Número de vagem/número de plantas
#     de soja);
#   * M100G: massa de 100 grãos (g);
#
Ano;Trat;Rep;RG;Imp;TUmid;AltSoja;NPD;NVagem;NGVagem;M100G
1;SS;1;1500,98;1,35;9;96,67;0;45,72727273;2,13;10,04
1;SS;2;1541,24;1,02;9,4;91,33;0,83;39,4;1,92;10,56
1;SS;3;1977,02;2,1;9,6;96,67;2,92;40,71428571;1,67;9,8
1;SS;4;1702,31;0,88;9,4;100;0,42;37,54545455;1,67;10,18
1;SS;5;2058,22;0,65;9,7;114,67;0;44,92857143;1,53;10,02
1;SS;6;1805,38;0,73;9,8;105;1,25;39,28571429;1,71;10
1;SS;7;1889,75;0,52;9,5;104,33;0;33,66666667;1,79;10,09
1;SA;1;1501,12;1,28;9,6;96,67;0;39,83333333;2,25;9,83
1;SA;2;1803,58;2,01;9,7;90,33;1,25;43,125;2,01;10,39
1;SA;3;1906,5;0,87;10,1;95,67;0,42;33,125;2,02;10,05
1;SA;4;1965,94;0,58;9,6;101;0;38,91666667;2,48;9,82
1;SA;5;1958,4;0,43;10,2;107,67;0,42;41,16666667;2,08;10,03
1;SA;6;1993,87;0,48;9,7;105,67;0;42,8;2,07;10,22
1;SA;7;1942,24;0,83;9,8;111,67;0;33;1,07;11,02
1;ST;1;2225,32;0,46;9,7;94,33;0,42;46,4;2,15;9,92
1;ST;2;1990,75;0,62;9,7;92,67;0,42;30,86666667;1,95;10,42
1;ST;3;1869,29;0,65;10,2;100,67;0,42;39,5;1,64;10,42
1;ST;4;2150,29;0,88;9,8;105;0;37;1,57;10,8
1;ST;5;1645,27;1,38;9,9;91;0,83;42,54545455;1,95;9,73
1;ST;6;2857,31;1,01;9,9;117;0,83;52,25;2,22;10,78
1;ST;7;2038,5;1,55;9,7;105,33;0,42;30,5625;1,84;10,02
1;SPa;1;1483,29;0,46;9,8;95,33;0,42;37,30769231;1,31;10,34
1;SPa;2;1441,38;0,76;10;90,67;0;41,35714286;1,27;10,05
1;SPa;3;2250,08;0,96;9,9;102;0,42;43,85714286;1,04;10,21
1;SPa;4;1919,48;0,33;9,7;105,67;1,25;35,92307692;1,63;10,01
1;SPa;5;1952,59;0,84;9,4;100;0,42;44,64285714;1,22;9,98
1;SPa;6;2257,99;1,22;9,5;119,33;1,25;49,76470588;1,01;9,82
1;SPa;7;1647,72;1,57;9,5;111,33;0,83;26,71428571;1,62;10,07
1;SPi;1;1514,17;0,74;9,4;97;1,67;44,08333333;1,71;9,02
1;SPi;2;2083,89;1,48;10,1;92;0;37,46666667;1,85;10,01
