data	vari	bloc	sup	med	inf
2009-12-11	BRS 245 RR	1	168	71	39
2009-12-11	BRS 245 RR	2	30	46	22
2009-12-11	BRS 245 RR	3	28	36	7
2009-12-11	BRS 245 RR	4	6	1	31
2009-12-11	BRS 243 RR	1	31	22	28
2009-12-11	BRS 243 RR	2	4	6	10
2009-12-11	BRS 243 RR	3	3	12	27
2009-12-11	BRS 243 RR	4	48	76	13
2009-12-11	BRS 246 RR	1	100	50	34
2009-12-11	BRS 246 RR	2	54	15	7
2009-12-11	BRS 246 RR	3	1	50	12
2009-12-11	BRS 246 RR	4	9	2	13
2009-12-11	BRS 239	1	40	32	44
2009-12-11	BRS 239	2	76	38	16
2009-12-11	BRS 239	3	52	43	25
2009-12-11	BRS 239	4	23	41	16
2009-12-11	EMBRAPA 48	1	84	61	56
2009-12-11	EMBRAPA 48	2	129	189	133
2009-12-11	EMBRAPA 48	3	84	35	12
2009-12-11	EMBRAPA 48	4	34	17	30
2009-12-11	CD 214 RR	1	17	137	3
2009-12-11	CD 214 RR	2	107	95	31
2009-12-11	CD 214 RR	3	130	120	26
2009-12-11	CD 214 RR	4	0	34	25
2009-12-11	CD 202	1	16	21	12
2009-12-11	CD 202	2	260	34	44
2009-12-11	CD 202	3	91	67	19
2009-12-11	CD 202	4	5	2	7
2009-12-11	M 7908 RR	1	27	37	29
2009-12-11	M 7908 RR	2	103	72	32
2009-12-11	M 7908 RR	3	50	60	32
2009-12-11	M 7908 RR	4	53	26	41
2009-12-11	VMAX RR	1	24	12	11
2009-12-11	VMAX RR	2	67	6	15
2009-12-11	VMAX RR	3	0	0	0
2009-12-11	VMAX RR	4	12	26	36
2009-12-11	CD 219 RR	1	0	22	16
2009-12-11	CD 219 RR	2	391	208	88
2009-12-11	CD 219 RR	3	53	81	23
2009-12-11	CD 219 RR	4	38	39	93
2009-12-19	BRS 245 RR	1	147	54	37
2009-12-19	BRS 245 RR	2	98	65	17
2009-12-19	BRS 245 RR	3	0	53	4
2009-12-19	BRS 245 RR	4	16	11	6
2009-12-19	BRS 243 RR	1	79	96	38
2009-12-19	BRS 243 RR	2	4	20	19
2009-12-19	BRS 243 RR	3	19	2	12
2009-12-19	BRS 243 RR	4	8	3	5
2009-12-19	BRS 246 RR	1	77	42	32
2009-12-19	BRS 246 RR	2	72	110	23
2009-12-19	BRS 246 RR	3	64	17	14
2009-12-19	BRS 246 RR	4	25	7	13
2009-12-19	BRS 239	1	53	14	7
2009-12-19	BRS 239	2	144	38	12
2009-12-19	BRS 239	3	136	48	42
2009-12-19	BRS 239	4	49	23	30
2009-12-19	EMBRAPA 48	1	69	38	19
2009-12-19	EMBRAPA 48	2	172	158	83
2009-12-19	EMBRAPA 48	3	150	104	32
2009-12-19	EMBRAPA 48	4	22	12	8
2009-12-19	CD 214 RR	1	36	25	10
2009-12-19	CD 214 RR	2	59	101	27
2009-12-19	CD 214 RR	3	376	115	82
2009-12-19	CD 214 RR	4	363	170	62
2009-12-19	CD 202	1	14	21	19
2009-12-19	CD 202	2	175	160	51
2009-12-19	CD 202	3	77	51	23
2009-12-19	CD 202	4	38	34	6
2009-12-19	M 7908 RR	1	52	15	12
2009-12-19	M 7908 RR	2	138	261	139
2009-12-19	M 7908 RR	3	87	48	19
2009-12-19	M 7908 RR	4	21	10	16
2009-12-19	VMAX RR	1	53	17	9
2009-12-19	VMAX RR	2	129	65	68
2009-12-19	VMAX RR	3	11	18	7
2009-12-19	VMAX RR	4	12	19	14
2009-12-19	CD 219 RR	1	11	40	18
2009-12-19	CD 219 RR	2	85	1157	278
2009-12-19	CD 219 RR	3	95	75	24
2009-12-19	CD 219 RR	4	24	34	135
2009-12-24	BRS 245 RR	1	138	54	39
2009-12-24	BRS 245 RR	2	47	56	14
2009-12-24	BRS 245 RR	3	32	14	10
2009-12-24	BRS 245 RR	4	24	21	5
2009-12-24	BRS 243 RR	1	85	38	11
2009-12-24	BRS 243 RR	2	21	7	19
2009-12-24	BRS 243 RR	3	8	3	14
2009-12-24	BRS 243 RR	4	10	30	4
2009-12-24	BRS 246 RR	1	99	85	40
2009-12-24	BRS 246 RR	2	84	56	23
2009-12-24	BRS 246 RR	3	17	23	13
2009-12-24	BRS 246 RR	4	51	19	23
2009-12-24	BRS 239	1	156	42	22
2009-12-24	BRS 239	2	60	66	10
2009-12-24	BRS 239	3	144	57	11
2009-12-24	BRS 239	4	75	23	15
2009-12-24	EMBRAPA 48	1	135	44	43
2009-12-24	EMBRAPA 48	2	87	169	62
2009-12-24	EMBRAPA 48	3	268	107	111
2009-12-24	EMBRAPA 48	4	20	14	3
2009-12-24	CD 214 RR	1	85	47	25
2009-12-24	CD 214 RR	2	76	108	36
2009-12-24	CD 214 RR	3	265	155	146
2009-12-24	CD 214 RR	4	464	223	170
2009-12-24	CD 202	1	25	4	9
2009-12-24	CD 202	2	182	100	23
2009-12-24	CD 202	3	77	53	22
2009-12-24	CD 202	4	64	65	10
2009-12-24	M 7908 RR	1	39	13	16
2009-12-24	M 7908 RR	2	216	152	151
2009-12-24	M 7908 RR	3	62	32	22
2009-12-24	M 7908 RR	4	82	24	19
2009-12-24	VMAX RR	1	57	9	16
2009-12-24	VMAX RR	2	88	176	26
2009-12-24	VMAX RR	3	0	0	0
2009-12-24	VMAX RR	4	71	4	11
2009-12-24	CD 219 RR	1	89	99	14
2009-12-24	CD 219 RR	2	15	751	423
2009-12-24	CD 219 RR	3	131	79	13
2009-12-24	CD 219 RR	4	140	159	215
2010-01-02	BRS 245 RR	1	25	11	30
2010-01-02	BRS 245 RR	2	8	11	3
2010-01-02	BRS 245 RR	3	9	2	0
2010-01-02	BRS 245 RR	4	18	8	3
2010-01-02	BRS 243 RR	1	42	19	3
2010-01-02	BRS 243 RR	2	6	3	6
2010-01-02	BRS 243 RR	3	2	0	3
2010-01-02	BRS 243 RR	4	8	25	3
2010-01-02	BRS 246 RR	1	24	30	14
2010-01-02	BRS 246 RR	2	18	7	2
2010-01-02	BRS 246 RR	3	7	2	1
2010-01-02	BRS 246 RR	4	25	14	11
2010-01-02	BRS 239	1	38	20	55
2010-01-02	BRS 239	2	21	4	5
2010-01-02	BRS 239	3	21	23	7
2010-01-02	BRS 239	4	8	12	5
2010-01-02	EMBRAPA 48	1	10	7	13
2010-01-02	EMBRAPA 48	2	27	13	12
2010-01-02	EMBRAPA 48	3	101	23	18
2010-01-02	EMBRAPA 48	4	11	8	6
2010-01-02	CD 214 RR	1	27	16	27
2010-01-02	CD 214 RR	2	12	35	11
2010-01-02	CD 214 RR	3	62	24	54
2010-01-02	CD 214 RR	4	36	48	3
2010-01-02	CD 202	1	18	8	6
2010-01-02	CD 202	2	41	6	17
2010-01-02	CD 202	3	28	7	10
2010-01-02	CD 202	4	21	12	14
2010-01-02	M 7908 RR	1	22	11	2
2010-01-02	M 7908 RR	2	78	30	18
2010-01-02	M 7908 RR	3	41	12	1
2010-01-02	M 7908 RR	4	101	83	60
2010-01-02	VMAX RR	1	34	6	4
2010-01-02	VMAX RR	2	42	30	10
2010-01-02	VMAX RR	3	0	4	2
2010-01-02	VMAX RR	4	43	7	5
2010-01-02	CD 219 RR	1	166	39	33
2010-01-02	CD 219 RR	2	135	265	65
2010-01-02	CD 219 RR	3	26	43	1
2010-01-02	CD 219 RR	4	77	88	9
2010-01-11	BRS 245 RR	1	2	7	10
2010-01-11	BRS 245 RR	2	3	5	2
2010-01-11	BRS 245 RR	3	1	1	0
2010-01-11	BRS 245 RR	4	4	0	3
2010-01-11	BRS 243 RR	1	0	5	3
2010-01-11	BRS 243 RR	2	0	1	1
2010-01-11	BRS 243 RR	3	1	1	0
2010-01-11	BRS 243 RR	4	4	0	2
2010-01-11	BRS 246 RR	1	4	9	6
2010-01-11	BRS 246 RR	2	3	4	0
2010-01-11	BRS 246 RR	3	0	0	0
2010-01-11	BRS 246 RR	4	2	0	0
2010-01-11	BRS 239	1	1	10	2
2010-01-11	BRS 239	2	1	0	0
2010-01-11	BRS 239	3	4	3	1
2010-01-11	BRS 239	4	2	0	1
2010-01-11	EMBRAPA 48	1	0	2	1
2010-01-11	EMBRAPA 48	2	2	0	0
2010-01-11	EMBRAPA 48	3	3	1	2
2010-01-11	EMBRAPA 48	4	1	0	1
2010-01-11	CD 214 RR	1	2	0	1
